y_pred,y_true,indices,probabilities,fold
1,1,0,,1.0
1,1,1,,1.0
1,1,2,,1.0
1,1,3,,1.0
1,1,4,,1.0
1,1,5,,1.0
1,1,6,,1.0
1,1,7,,1.0
1,1,8,,1.0
1,1,9,,1.0
1,1,10,,1.0
1,1,11,,1.0
1,0,12,,1.0
1,1,13,,1.0
1,1,14,,1.0
0,0,15,,1.0
1,1,16,,1.0
0,0,17,,1.0
1,1,18,,1.0
1,1,19,,1.0
1,1,20,,1.0
1,1,21,,1.0
1,1,22,,1.0
1,1,23,,1.0
1,1,24,,1.0
1,1,25,,1.0
1,1,26,,1.0
1,1,27,,1.0
1,1,28,,1.0
1,1,29,,1.0
1,1,30,,1.0
1,1,31,,1.0
0,0,32,,1.0
1,1,33,,1.0
1,1,34,,1.0
1,1,35,,1.0
0,0,36,,1.0
1,1,37,,1.0
0,0,38,,1.0
1,1,39,,1.0
1,1,40,,1.0
1,1,41,,1.0
1,1,42,,1.0
0,0,43,,1.0
0,0,44,,1.0
0,0,45,,1.0
1,1,46,,1.0
1,1,47,,1.0
1,1,48,,1.0
1,1,49,,1.0
0,0,50,,1.0
1,1,51,,1.0
0,0,52,,1.0
1,1,53,,1.0
0,0,54,,1.0
1,1,55,,1.0
1,1,56,,1.0
1,1,57,,1.0
0,0,58,,1.0
1,1,59,,1.0
1,1,60,,1.0
1,1,61,,1.0
1,1,62,,1.0
1,1,63,,1.0
1,1,64,,1.0
1,1,65,,1.0
0,0,66,,1.0
0,0,67,,1.0
0,0,68,,1.0
1,1,69,,1.0
1,1,70,,1.0
1,1,71,,1.0
1,1,72,,1.0
1,1,73,,1.0
1,1,74,,1.0
1,1,75,,1.0
1,1,76,,1.0
1,1,77,,1.0
1,1,78,,1.0
1,1,79,,1.0
0,0,80,,1.0
0,0,81,,1.0
1,1,82,,1.0
0,0,83,,1.0
0,0,84,,1.0
0,0,85,,1.0
1,1,86,,1.0
0,0,87,,1.0
0,0,88,,1.0
1,1,89,,1.0
1,1,90,,1.0
1,1,91,,1.0
1,1,92,,1.0
1,1,93,,1.0
0,0,94,,1.0
